date,quality,weave,quantity,composition,status,_id,rate,agentName,customerName
2024-01-30T23:23:18Z,Economy,Plain,500,Linen 100%,Cancelled,a45e01f7f2c54f84b158789e,171,Mukilan,Jhon
2024-02-26T10:29:44Z,Primium,Satin,700m,20%,Cancelled,29911838a077416daffaf113,420,Sowmiya,qilyze
2024-02-13T22:32:33Z,Primium,Plain,700m,20%,Cancelled,585404cb16644a03ac1e0a1f,231,Mukilan,qilyze
2024-02-08T05:16:03Z,Primium,Satin,700m,Cotton 40%,Pending,bd34db7113224b3c9a63e24e,65,Priya,Alice
2024-02-01T06:28:19Z,Economy,Satin,300,Polyester 80%,Cancelled,7aaa96d0bcc1483aaa2db2a9,231,Sowmiya,Smith
2024-02-08T01:17:18Z,Economy,Twill,450m,Polyester 80%,Confirmed,cf0bc9885a094186af010dac,420,Priya,Ravi
2024-02-11T22:37:15Z,Economy,Linen,700m,Polyester 80%,Cancelled,29bedee0d1f94e50b5e1ed82,420,Priya,Alice
2024-02-06T07:09:22Z,Economy,Plain,120m,Polyester 80%,Confirmed,911d29ee511e4fd795056de8,93,Mukilan,Ravi
2024-02-07T18:12:13Z,Primium,Plain,300,Polyester 80%,Pending,afefd9949584419d9edead9c,176,Sowmiya,Jhon
2024-02-18T02:34:14Z,Stand,Plain,700m,20%,Pending,e6efe5b4bdbf41719bfc8f5c,171,Mukilan,Ravi
2024-02-07T13:29:34Z,Economy,Twill,450m,Cotton 40%,Confirmed,4bc54b197c6049bd80cc56d9,171,Mukilan,Alice
2024-02-19T14:24:30Z,Economy,Satin,700m,Polyester 80%,Pending,b763291567b441b48ef39eda,367,Priya,Alice
2024-02-16T07:54:51Z,Primium,Plain,500,Cotton 60%,Pending,7d4ffbaa3a7c4780b397d5cc,464,Sowmiya,Ravi
2024-02-15T09:37:59Z,Stand,Linen,700m,Polyester 80%,Cancelled,7e5bf77ffa3e419f8ffe3a33,367,Mukilan,Alice
2024-02-22T02:07:25Z,Economy,Twill,1000,Cotton 60%,Cancelled,f6ce7000bb314712805ced33,65,Sowmiya,Smith
2024-02-22T09:34:42Z,Primium,Twill,1000,Polyester 80%,Confirmed,d81bb69bda7549d8833ce32f,54,Priya,qilyze
2024-02-17T23:01:19Z,Stand,Plain,300,Cotton 40%,Pending,8c5f497d21d5466895b006aa,54,Karthik,Smith
2024-02-04T09:33:25Z,Stand,Linen,700m,Cotton 40%,Cancelled,17148298eea14f5cbad2343f,93,Sowmiya,Ravi
2024-02-28T16:09:37Z,Primium,Twill,500,Cotton 60%,Pending,52ab6f9ef22145f495047bc2,231,Priya,Ravi
2024-02-03T18:14:46Z,Stand,Linen,300,Cotton 40%,Confirmed,09e3a5bc9d034b069d03d076,404,Sowmiya,Alice
2024-02-21T09:03:54Z,Economy,Plain,700m,Linen 100%,Confirmed,5b165838a5224ddd84041e1a,171,Karthik,qilyze
2024-02-07T17:59:23Z,Stand,Plain,500,Cotton 60%,Confirmed,021eac39bf554c668e525460,231,Mukilan,Jhon
2024-02-01T21:20:43Z,Stand,Plain,300,Cotton 60%,Pending,76c9a154c20846db82181875,420,Priya,Jhon
2024-02-24T22:40:12Z,Stand,Linen,300,20%,Cancelled,7b43f194641a4f7abbaf80f1,176,Priya,Jhon
2024-02-20T18:47:06Z,Primium,Twill,1000,Polyester 80%,Pending,824c2ffa700f4eb09e49f81b,176,Karthik,Smith
2024-02-27T13:11:43Z,Economy,Linen,450m,Polyester 80%,Confirmed,360149f5e6e44ca3a7612f4e,367,Priya,Jhon
2024-02-20T19:42:12Z,Primium,Satin,450m,Cotton 40%,Cancelled,340be1c5569c42d7a9f7898b,176,Sowmiya,Jhon
2024-02-16T08:46:06Z,Economy,Linen,1000,Linen 100%,Confirmed,3a2050b9d67e4edaae23a895,367,Priya,Jhon
2024-02-08T19:27:24Z,Stand,Plain,120m,Linen 100%,Pending,5e58fe35ab6242f0a0d94d00,171,Karthik,Smith
2024-02-21T02:36:51Z,Primium,Satin,500,Polyester 80%,Pending,53e95e38bb3b4cefa6917b9e,176,Karthik,Smith
2024-02-01T17:43:45Z,Primium,Plain,120m,Cotton 60%,Confirmed,d6b22a0c6c2e426292f45b2d,404,Priya,Ravi
2024-02-24T14:32:20Z,Economy,Satin,1000,Linen 100%,Confirmed,c6db67ffd3ab4fe4ac682464,54,Karthik,Ravi
2024-02-02T09:52:45Z,Primium,Plain,300,Cotton 60%,Pending,7fa6b3dbf4894b3db98b4a26,93,Mukilan,qilyze
2024-02-06T09:35:47Z,Stand,Plain,700m,20%,Confirmed,1086b6f3a5d547a59a121f69,404,Mukilan,Alice
2024-02-06T15:27:31Z,Economy,Plain,450m,Polyester 80%,Confirmed,d843399d718b442097817d57,93,Sowmiya,qilyze
2024-02-02T01:17:49Z,Stand,Plain,500,Cotton 40%,Cancelled,c544be112b5d413cadedcd30,404,Priya,Smith
2024-02-23T16:20:14Z,Stand,Satin,1000,Cotton 60%,Pending,22c7e3aa50b646db87eea677,65,Priya,qilyze
2024-02-04T12:12:01Z,Economy,Satin,700m,Cotton 60%,Pending,9db36a928134486ba1048e15,231,Sowmiya,Ravi
2024-02-06T22:55:19Z,Stand,Plain,1000,Polyester 80%,Pending,d302f33d3b3c493aa4f44e92,464,Sowmiya,qilyze
2024-02-06T10:04:45Z,Stand,Linen,300,20%,Confirmed,ed66d676439c425fa27ea333,54,Mukilan,Ravi
2024-02-26T08:49:11Z,Stand,Twill,500,Cotton 60%,Confirmed,8f619920f13a42ce850d2193,367,Sowmiya,Alice
2024-02-11T10:36:08Z,Primium,Satin,300,Cotton 40%,Cancelled,ec8e5ff883374ae28478c443,65,Priya,Smith
2024-02-21T17:10:39Z,Economy,Satin,700m,Linen 100%,Cancelled,94ddc110a40b4323860214e7,176,Sowmiya,Smith
2024-02-05T11:28:21Z,Primium,Satin,450m,20%,Confirmed,7efd322abbae465e92ba477d,420,Mukilan,Alice
2024-02-04T17:10:33Z,Stand,Plain,300,Polyester 80%,Pending,3cffc61b8b09429c9220f8b8,176,Karthik,Smith
2024-02-21T11:18:59Z,Economy,Twill,300,Cotton 40%,Confirmed,6520de022e7e440289f56f35,54,Mukilan,Smith
2024-02-06T23:06:03Z,Stand,Linen,700m,20%,Confirmed,af4a81dad6a14550b4043c9b,231,Priya,Ravi
2024-02-27T08:44:12Z,Stand,Satin,1000,Polyester 80%,Cancelled,41e0e7482e5747a586bd25fc,65,Karthik,Smith
2024-02-18T04:27:08Z,Stand,Linen,700m,Polyester 80%,Pending,ffef96183b5546e58b9395aa,231,Mukilan,Smith
2024-02-04T03:25:29Z,Economy,Twill,500,Cotton 40%,Pending,721965fa28384de4803b08fb,171,Priya,Jhon
2024-02-19T06:10:37Z,Economy,Linen,500,Polyester 80%,Pending,5214f25d81c340de90315063,93,Sowmiya,Jhon
2024-03-28T18:11:49Z,Economy,Linen,500,Cotton 40%,Confirmed,f2b124d3a28f4035b20ace9b,176,Priya,Smith
2024-03-06T06:19:59Z,Stand,Plain,500,Polyester 80%,Confirmed,3a463a6b100f44d08f7df255,464,Sowmiya,qilyze
2024-03-26T20:00:48Z,Stand,Linen,1000,Cotton 40%,Confirmed,347e7e22059b455980145a09,65,Sowmiya,Alice
2024-03-09T19:46:13Z,Stand,Plain,500,20%,Confirmed,f99666822bb34bce9901788d,176,Karthik,Smith
2024-03-27T04:46:55Z,Economy,Satin,300,Cotton 60%,Confirmed,f4809cd9f93a404c8a639458,176,Sowmiya,Ravi
2024-03-26T16:20:00Z,Stand,Plain,500,Cotton 60%,Pending,7a2760827c634c4d8394fe2e,171,Priya,Ravi
2024-03-07T09:25:44Z,Stand,Satin,300,Cotton 60%,Pending,d0a66790628240ff84973f3d,420,Mukilan,Alice
2024-03-12T12:53:48Z,Economy,Linen,500,20%,Confirmed,9da7e9b61ba64f9a8d8a20a5,176,Sowmiya,Alice
2024-03-03T10:47:57Z,Stand,Satin,500,Polyester 80%,Cancelled,809c571b7b5d41e9881eb5d5,93,Mukilan,Smith
2024-03-31T15:42:13Z,Economy,Plain,500,Cotton 60%,Cancelled,fba96783fa1a46eb8473cf20,420,Karthik,Jhon
2024-03-04T02:22:47Z,Economy,Linen,500,Linen 100%,Cancelled,f13378f75fc24ea993725101,420,Mukilan,Ravi
2024-03-10T22:32:31Z,Economy,Satin,500,20%,Cancelled,a7bd383d0891426db730fd54,420,Priya,qilyze
2024-03-30T19:29:26Z,Stand,Satin,700m,Cotton 60%,Pending,186ae45698b445a89cf09ed5,464,Karthik,qilyze
2024-03-29T04:00:36Z,Primium,Plain,450m,Polyester 80%,Pending,55a634ecdd7f4f46872a8a3d,171,Priya,Alice
2024-03-19T12:19:26Z,Primium,Satin,120m,Cotton 40%,Cancelled,707215511a60478e84d4a6eb,65,Karthik,Smith
2024-03-01T00:18:53Z,Primium,Linen,1000,20%,Pending,55499ad132d44cdda65383e2,464,Priya,qilyze
2024-03-02T03:58:13Z,Economy,Satin,500,20%,Pending,403d60fdad2140b995c353f3,65,Priya,Ravi
2024-03-05T15:04:50Z,Economy,Plain,450m,Cotton 40%,Cancelled,7c16f58d55fc48888249921d,231,Sowmiya,Smith
2024-03-05T07:15:08Z,Primium,Twill,500,Cotton 60%,Confirmed,026162200e0b4b08949cee4d,54,Priya,Smith
2024-03-30T18:54:47Z,Primium,Twill,120m,20%,Confirmed,80db4f8fcd4543eb80ff130a,231,Sowmiya,Ravi
2024-03-09T09:53:05Z,Economy,Satin,700m,Cotton 60%,Confirmed,df8fbfb266324753a0c483a9,404,Sowmiya,Jhon
2024-03-11T07:52:04Z,Primium,Twill,450m,Polyester 80%,Cancelled,86a727a29001495fb2c2e5d3,367,Priya,qilyze
2024-03-30T03:18:45Z,Economy,Plain,450m,Linen 100%,Confirmed,29e20c045faf4fcc95396251,420,Mukilan,Ravi
2024-03-14T22:30:14Z,Primium,Linen,300,Linen 100%,Pending,5f08cea2f8c34d99b6afe1fd,54,Mukilan,Jhon
2024-03-08T06:57:53Z,Primium,Twill,120m,20%,Confirmed,d8b66e8358ae4a33a627a150,54,Karthik,Smith
2024-03-11T08:26:05Z,Economy,Linen,300,Polyester 80%,Confirmed,e85a026ea1254a5b87512a16,464,Priya,qilyze
2024-03-20T04:09:22Z,Stand,Satin,450m,Polyester 80%,Pending,dd444e46407f460698a7cf74,171,Sowmiya,Jhon
2024-03-21T12:59:20Z,Primium,Linen,700m,Polyester 80%,Confirmed,b11883f8b7504b5ab15982f7,65,Sowmiya,Jhon
2024-03-20T17:51:37Z,Economy,Satin,500,20%,Cancelled,5631ff0a24284cb494053854,420,Karthik,Jhon
2024-03-22T16:02:20Z,Economy,Linen,300,Cotton 60%,Confirmed,7faf3cd10ca4495fb292f9d4,404,Sowmiya,Alice
2024-03-25T12:11:24Z,Primium,Linen,120m,Linen 100%,Pending,98abd5c2b8ab448e90ffd71b,404,Karthik,qilyze
2024-03-01T21:18:51Z,Stand,Twill,450m,Polyester 80%,Confirmed,bcf67b6c7cf84a6ba1799841,176,Mukilan,Alice
2024-03-22T20:16:03Z,Stand,Twill,450m,Polyester 80%,Confirmed,5f9f397950b545c2b1556f3f,404,Sowmiya,Jhon
2024-03-24T02:11:00Z,Stand,Plain,500,20%,Cancelled,34183fd7cca64c5db7e196f4,54,Mukilan,Jhon
2024-03-02T02:27:32Z,Primium,Linen,300,Cotton 40%,Pending,49ce79c549b84d82886ab317,367,Karthik,Jhon
2024-03-06T02:14:20Z,Economy,Linen,700m,Polyester 80%,Confirmed,4ecbf6bbcc064308961d672a,65,Karthik,Smith
2024-03-27T22:09:21Z,Primium,Linen,500,Polyester 80%,Pending,762cbe880020483795d37c1c,93,Priya,Ravi
2024-03-12T00:06:23Z,Primium,Satin,300,Polyester 80%,Cancelled,e524c5e98faa49c19b7a1299,176,Sowmiya,Smith
2024-03-08T01:11:37Z,Primium,Plain,300,Linen 100%,Pending,02dd8e1325754a5aabcca310,54,Sowmiya,Ravi
2024-03-28T18:02:24Z,Primium,Satin,450m,Cotton 40%,Pending,4894f00246b54181954e1184,231,Sowmiya,qilyze
2024-03-23T08:26:08Z,Economy,Linen,120m,Polyester 80%,Pending,2f64105b0e504fc987373cc8,93,Priya,Jhon
2024-03-05T13:26:25Z,Stand,Linen,120m,Cotton 40%,Cancelled,57434f9cf8b044b5b1a6110d,65,Sowmiya,qilyze
2024-03-02T04:50:36Z,Stand,Twill,700m,Cotton 60%,Pending,1fe15dd49153418bbd936ddb,420,Karthik,qilyze
2024-03-27T04:15:27Z,Primium,Satin,500,Cotton 60%,Cancelled,31e91d8a6b2b4efc95c386bb,367,Priya,Jhon
2024-03-28T02:19:00Z,Primium,Plain,1000,Cotton 60%,Cancelled,5e64a670ab4f4eefbb2d8b46,231,Mukilan,Jhon
2024-03-01T12:22:26Z,Primium,Plain,300,Cotton 40%,Confirmed,13f46a15bbc048b2a46f4c85,171,Priya,Alice
2024-03-10T11:36:30Z,Primium,Satin,1000,Cotton 60%,Pending,31e5dfa0752c48fc8a2158cf,171,Sowmiya,Smith
2024-03-09T00:35:41Z,Economy,Satin,700m,Polyester 80%,Cancelled,a7162b77212e48ffb2fa1f9b,65,Mukilan,Smith
2024-03-20T08:34:44Z,Primium,Plain,500,Cotton 40%,Cancelled,564f49257c2744fa8959e234,464,Mukilan,Alice
2024-03-30T20:04:59Z,Primium,Satin,700m,Polyester 80%,Pending,8cb9954ee11d4fd29e59a20c,171,Priya,qilyze
2024-04-27T09:07:20Z,Economy,Twill,1000,Cotton 40%,Confirmed,ef096e1da06f4b7ba3ee979d,171,Mukilan,Smith
2024-04-30T05:09:58Z,Stand,Satin,700m,20%,Cancelled,b33258ecfc0e49a6b8bb3a57,176,Priya,Smith
2024-04-14T21:52:20Z,Stand,Twill,450m,Cotton 60%,Cancelled,6a53ce402e2347b99e854243,93,Priya,Jhon
2024-04-21T12:24:46Z,Stand,Twill,500,Cotton 40%,Cancelled,10b26126e05e4b89a13a698c,464,Sowmiya,qilyze
2024-04-05T20:49:08Z,Stand,Satin,1000,20%,Cancelled,1e7ff16f7e04414cbde733ec,404,Karthik,Ravi
2024-04-25T18:43:20Z,Stand,Twill,120m,Polyester 80%,Cancelled,829f5dad141c43dc94c57a85,231,Karthik,Jhon
2024-04-17T12:28:34Z,Economy,Linen,700m,20%,Cancelled,442efef74e5a41ce924ca2f1,367,Priya,Ravi
2024-04-02T06:03:35Z,Primium,Twill,700m,Linen 100%,Confirmed,6b43d3bcd83d4edf8d58089e,367,Priya,Alice
2024-04-29T14:33:42Z,Primium,Linen,300,Cotton 60%,Cancelled,bc5f4926ade54e8ba95fdeb3,171,Karthik,Jhon
2024-04-25T17:50:00Z,Primium,Satin,1000,Cotton 40%,Confirmed,1a23ad4d5e2342febe5d3c4f,231,Mukilan,Smith
2024-04-07T09:32:26Z,Primium,Linen,500,Cotton 40%,Pending,83ac4bd6eb044a3a93ac98bd,367,Priya,Jhon
2024-04-11T11:57:15Z,Primium,Satin,450m,Cotton 60%,Confirmed,95eba65d37214aa48ea73854,54,Mukilan,qilyze
2024-04-07T06:24:24Z,Economy,Plain,120m,Linen 100%,Confirmed,0a0fbbfffc51474bba841dda,420,Sowmiya,Smith
2024-04-01T09:45:34Z,Stand,Linen,300,Cotton 60%,Confirmed,77e48449ecc9426cb7fb57b2,54,Sowmiya,Smith
2024-04-18T17:45:37Z,Economy,Linen,700m,Cotton 60%,Confirmed,a6e1c09b568942a0a47c3b13,420,Priya,Ravi
2024-04-09T08:05:31Z,Primium,Satin,1000,Cotton 60%,Pending,3a3ec7814b3c4252b2851f61,420,Sowmiya,Ravi
2024-04-10T18:16:31Z,Economy,Plain,120m,Linen 100%,Confirmed,0f2d3db4747e42aa904aa05c,231,Sowmiya,Smith
2024-04-04T00:48:48Z,Primium,Plain,450m,Cotton 60%,Confirmed,749c405a980d40b3b8f7be73,54,Mukilan,Jhon
2024-04-03T17:22:09Z,Stand,Plain,120m,Polyester 80%,Cancelled,b19d696f82b9478bb8f90123,367,Priya,Jhon
2024-04-27T17:34:38Z,Primium,Satin,700m,Polyester 80%,Pending,95b15ede5f854d81b091c37c,464,Sowmiya,Jhon
2024-04-30T14:50:48Z,Stand,Twill,300,Polyester 80%,Confirmed,34f664613a8e45daa5f535a3,420,Priya,Ravi
2024-04-15T04:00:00Z,Stand,Plain,120m,Linen 100%,Confirmed,63b1351949004b4bbab35ce8,176,Karthik,Ravi
2024-04-30T07:06:52Z,Stand,Twill,1000,Cotton 60%,Cancelled,94ba425f25d94493bda019a7,231,Karthik,Jhon
2024-04-18T09:41:18Z,Economy,Satin,1000,20%,Cancelled,df4625f7618142baa13a6ab6,176,Priya,Ravi
2024-04-15T04:03:16Z,Primium,Linen,300,Cotton 60%,Confirmed,356c04db3a5a412c95205c68,54,Sowmiya,qilyze
2024-04-04T12:29:09Z,Economy,Twill,700m,Linen 100%,Pending,31d5dd4687e94c088e225f58,171,Mukilan,Alice
2024-04-04T03:47:27Z,Economy,Linen,500,Linen 100%,Cancelled,b40766d797624b8da5890b2f,171,Priya,qilyze
2024-04-28T20:08:40Z,Stand,Satin,500,20%,Confirmed,8088312a2a924c68b3575016,171,Karthik,qilyze
2024-04-25T13:22:43Z,Economy,Satin,450m,Cotton 60%,Pending,d9464992d86849ddbf332a8d,171,Mukilan,Alice
2024-04-26T08:40:14Z,Economy,Twill,120m,Polyester 80%,Cancelled,2894f581046c47fbad45bcf1,93,Karthik,qilyze
2024-04-03T15:06:48Z,Stand,Twill,450m,Polyester 80%,Pending,602031d7d6d3493eb77bcbc5,176,Karthik,Ravi
2024-04-11T11:28:07Z,Stand,Twill,700m,20%,Confirmed,30925a0dfc6e423cb7599872,65,Sowmiya,Jhon
2024-04-05T18:55:23Z,Primium,Satin,1000,20%,Cancelled,1e30e5ad19604359931f2879,65,Priya,Smith
2024-04-16T17:20:47Z,Primium,Satin,450m,Cotton 40%,Cancelled,636250dc10474d1bb252fa76,420,Sowmiya,Alice
2024-04-18T13:25:17Z,Primium,Linen,500,Polyester 80%,Cancelled,bedfba18074a4980b410ccfc,367,Sowmiya,Ravi
2024-04-27T02:06:37Z,Stand,Linen,1000,Linen 100%,Pending,485dbcfc1b6048d4a97017fd,404,Sowmiya,Ravi
2024-04-14T19:01:24Z,Economy,Plain,500,Polyester 80%,Pending,beca06b6fc294507abc9c824,171,Karthik,Jhon
2024-04-19T16:07:19Z,Economy,Plain,450m,Linen 100%,Cancelled,69d38ea0bfd34050a3076913,404,Priya,Jhon
2024-04-21T18:11:42Z,Economy,Linen,300,Linen 100%,Cancelled,40245b9f16444e33a48067ec,464,Karthik,Alice
2024-04-29T13:59:48Z,Stand,Twill,450m,Cotton 60%,Pending,fb989cacf9c94831b3fd3ff2,54,Sowmiya,Jhon
2024-04-19T03:37:22Z,Stand,Satin,300,20%,Cancelled,ba4ddf0289634ab19b4e1b04,404,Mukilan,Jhon
2024-04-02T05:03:12Z,Primium,Plain,500,Cotton 60%,Cancelled,026021b4bea244c8a5a89f03,176,Karthik,Smith
2024-04-28T20:16:43Z,Economy,Linen,300,Linen 100%,Cancelled,1a5a49d1120745acadd9cc81,420,Sowmiya,Jhon
2024-04-24T11:37:52Z,Economy,Linen,300,Linen 100%,Confirmed,38e23e1d337347c3b904d263,464,Sowmiya,Ravi
2024-04-04T02:45:50Z,Primium,Linen,500,Linen 100%,Confirmed,c9ccaf072b254018ae278372,404,Priya,qilyze
2024-04-30T08:36:02Z,Stand,Satin,450m,Linen 100%,Pending,91d7e1aa700246dfad38e764,420,Karthik,Smith
2024-04-01T23:10:52Z,Stand,Satin,700m,Cotton 60%,Cancelled,74b167eaf30e4938aa426e77,93,Karthik,Ravi
2024-04-21T13:21:33Z,Economy,Twill,700m,Polyester 80%,Confirmed,d4415496ba224fb781cfe177,176,Sowmiya,Smith
2024-04-20T03:56:28Z,Primium,Twill,300,Cotton 40%,Cancelled,59c1e4d0a6b64a14b74151bc,93,Karthik,Smith
2024-04-08T02:06:33Z,Primium,Satin,1000,Cotton 40%,Confirmed,f393e617481b47968cb0883a,231,Mukilan,Jhon
2024-05-25T08:52:11Z,Stand,Linen,500,Cotton 60%,Confirmed,c79454c40a5041c2a968ec7d,54,Mukilan,Smith
2024-05-02T00:51:49Z,Primium,Linen,120m,20%,Cancelled,fb92f098b1394291825ef302,404,Karthik,Ravi
2024-05-26T12:20:02Z,Primium,Linen,300,Polyester 80%,Pending,a68b88cef6284f7b9c2891cd,171,Priya,Ravi
2024-05-05T01:04:41Z,Stand,Linen,1000,20%,Pending,4a6c84bfd10745a3bcf222b8,65,Priya,Jhon
2024-05-14T17:18:31Z,Economy,Twill,700m,Linen 100%,Pending,3f5287450109470091b94fb0,93,Sowmiya,Jhon
2024-05-30T14:34:26Z,Primium,Twill,120m,Polyester 80%,Pending,0bff85a3b1c047beaee8075f,93,Mukilan,Jhon
2024-05-14T17:38:34Z,Stand,Plain,500,Cotton 60%,Confirmed,c8fd224728f443d2bc524355,404,Priya,Jhon
2024-05-24T04:04:17Z,Economy,Satin,500,Cotton 40%,Confirmed,6a6e5b716f264bdbbd0dae90,420,Karthik,Smith
2024-05-17T08:56:22Z,Stand,Twill,300,Cotton 60%,Cancelled,42a2b53a2b874e42bc62f053,65,Sowmiya,qilyze
